Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity_category,cluster_1,cluster_2,cluster_3,best_feature,optimal_value,predicted_increase
346.0,Tristan Prettyman,When You Come Down,1IXjNvAsIysOcFW2ztRYe8,14,2012,acoustic,0.699,0.657,1,-8.061,1,0.025,0.207,2.21e-05,0.0903,0.754,111.984,204253,4,Low,False,False,False,loudness,0.0,3.5076607277208858
347.0,Beans on Toast,Life,549fDjfdIlnvRw2TRy9JHP,24,2012,acoustic,0.612,0.343,0,-13.308,1,0.0466,0.773,0.0,0.134,0.745,82.39,224267,4,Low,True,False,False,danceability,0.812,2.8218771819666326
348.0,Frank Turner,The Road,0qUqxxNci4PAj8YWTBA2l0,18,2012,acoustic,0.414,0.832,0,-5.694,1,0.12,0.00723,0.0,0.0531,0.573,187.818,237827,4,Low,False,False,False,danceability,0.5695555555555556,2.4646087962533407
349.0,Joey Cape,Confession,3fMMvNHd4koAhSZJSWq7lH,20,2012,acoustic,0.485,0.305,10,-6.39,1,0.0346,0.698,0.0,0.394,0.331,125.02,142000,4,Low,True,False,False,danceability,0.685,2.7233419979278075
350.0,Steve Petrunak,How Great Thou Art,0tK8I6t7Z1KxetMTXTtpgh,14,2012,acoustic,0.567,0.3,10,-13.535,1,0.041,0.838,0.863,0.103,0.294,131.833,256444,4,Low,False,True,False,duration_ms,85481.93333333335,5.477537492911402
351.0,Tony Sly,Black Box,18TbIMwoBqAb4W3JUQo7KT,20,2012,acoustic,0.496,0.425,7,-5.582,1,0.0326,0.818,4.95e-06,0.0737,0.181,124.958,207760,4,Low,True,False,False,liveness,0.0,1.2689750641496609
352.0,Frank Turner,Reasons Not To Be An Idiot,4h2F98rQVseI8cOsEql9sX,16,2012,acoustic,0.553,0.813,9,-4.915,1,0.0398,0.00404,0.0,0.107,0.765,145.048,228773,4,Low,False,False,False,valence,0.565,2.358855264348975
353.0,Ramshackle Glory,Gospel Music for the Coming Social War,0zHGgFV3okHxtVIM6xxVgB,14,2012,acoustic,0.262,0.719,5,-8.474,1,0.0417,0.00996,0.053,0.298,0.722,58.309,239920,5,Low,False,False,False,loudness,0.0,0.547132015767481
354.0,Madi Diaz,Heavy Heart,7fNSeYZz8BdnSZ4PSi717k,17,2012,acoustic,0.581,0.246,4,-11.788,1,0.0286,0.46,0.00655,0.109,0.284,105.799,220933,4,Low,True,False,False,loudness,0.0,2.1419860292833306
355.0,Greg Laswell,Dragging You Around,3ey9mK3flkMIevNQjFp2xD,18,2012,acoustic,0.497,0.854,7,-5.783,1,0.0373,0.0339,6.17e-06,0.183,0.386,129.026,223053,4,Low,False,False,False,danceability,0.6970000000000001,3.4272963249923976
356.0,Bukka White,Fixin' To Die Blues,2GM7Q376O8D1L5egNPjwTY,18,2012,acoustic,0.575,0.425,11,-7.611,1,0.0336,0.857,0.588,0.1,0.573,109.45,170266,4,Low,False,True,False,speechiness,0.0,3.566475427556973
357.0,John Frusciante,Mistakes,5jpZ64gyazIZv4F5DHalMk,15,2012,acoustic,0.512,0.895,6,-4.074,0,0.0347,0.0315,0.433,0.16,0.473,161.711,229720,4,Low,False,False,True,danceability,0.712,1.7273063128896666
358.0,Joshua Hyslop,Time Alone,3JXtTxrSa70YLYxAjwJ5pe,21,2012,acoustic,0.634,0.325,3,-14.148,1,0.0278,0.477,0.00739,0.0998,0.267,146.041,259867,4,Low,True,False,False,loudness,0.0,1.8294772147353056
359.0,Roberto Diana,If You Are Happy,1YPbmTdxGNQOLnfTyK4kTi,15,2012,acoustic,0.516,0.344,2,-9.858,1,0.0482,0.923,0.767,0.0693,0.169,131.443,195187,4,Low,False,True,False,speechiness,0.0275777777777777,4.986611140627744
360.0,Dave Barnes,How Long,7qXgpZh7aNfbwz34GsM3fZ,13,2012,acoustic,0.667,0.653,1,-5.672,1,0.0348,0.00806,2.06e-05,0.0613,0.842,89.465,185253,4,Low,False,False,False,instrumentalness,0.0,2.0376991683971823
361.0,Kaki King,Fences,2xIfD9FHC76CLLWx9NDd7O,15,2012,acoustic,0.504,0.265,8,-15.679,0,0.0422,0.745,0.719,0.105,0.0498,139.026,203450,4,Low,False,True,False,speechiness,0.0269111111111111,2.825491481423141
362.0,Roberto Diana,In My Mind,0As5TtLywj47zWt3M7xjTi,17,2012,acoustic,0.411,0.117,2,-20.848,1,0.0402,0.891,0.88,0.109,0.0458,96.739,198947,4,Low,False,True,False,duration_ms,66316.26666666666,3.244514729190449
363.0,YUZU,Niji,7jsOy71a4Tt0p7tNJbZgV9,22,2012,acoustic,0.619,0.848,11,-3.082,1,0.0482,0.259,0.0,0.0874,0.536,113.005,325893,4,Low,False,False,False,duration_ms,217262.2,2.40055346687371
364.0,Steve Petrunak,Days a Week,0XXbaDFx1mBegxDTEnaCTG,18,2012,acoustic,0.479,0.419,2,-6.915,1,0.0394,0.689,0.948,0.0877,0.202,137.705,169866,4,Low,False,True,False,duration_ms,37748.73333333334,1.031956250288033
365.0,Tyrone Wells,Freedom,1Ed5QRiwklWErs1XqwNgYC,14,2012,acoustic,0.733,0.86,2,-4.832,1,0.0479,0.12,1.15e-06,0.0457,0.916,102.048,170098,4,Low,False,False,False,acousticness,0.0355555555555555,0.3900906648137301
366.0,Rodrigo y Gabriela,Hanuman - Area 52 Version,4NJruzai48eD3aCMGDl7Xz,11,2012,acoustic,0.63,0.936,4,-5.119,0,0.0459,0.384,0.746,0.331,0.831,130.041,333867,4,Low,False,False,True,speechiness,0.0,8.943810758210269
