Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster_1,cluster_2,cluster_3,cluster_4,best_feature,optimal_value,predicted_increase
3014,Hammock,Tape Recorder,3OUe825CFc20R8OuDxyefp,21,2012,ambient,0.182,0.27,7,-15.353,1.0,0.0393,0.62,0.796,0.102,0.0539,116.26,366932.0,3.0,False,True,False,False,speechiness,0.0265888888888888,2.3304013020226098
3015,Abel Korzeniowski,Letters,7ADpLwo307sPU6jqQnOgzw,31,2012,ambient,0.0918,0.154,7,-16.089,0.0,0.0365,0.862,0.956,0.0927,0.079,60.537,259213.0,4.0,False,True,False,False,duration_ms,86404.93333333332,4.422824159598267
3016,Marconi Union,Flying (in crimson skies),4Vg44hDVBVBHvoHRKW78eb,24,2012,ambient,0.48,0.306,0,-15.793,1.0,0.0327,0.887,0.905,0.0853,0.0425,129.982,452160.0,4.0,False,True,False,False,duration_ms,100480.73333333334,4.176287384739336
3017,Jessica Pratt,Streets of Mine,4TDqxEt2wdKJU7YVHIQFL5,23,2012,ambient,0.366,0.276,6,-10.861,1.0,0.0309,0.942,0.164,0.115,0.347,171.38,163712.0,4.0,True,False,False,False,danceability,0.5660000000000001,0.9040040427059566
3018,Bethel Music,Forgiven,6Mwmv1TDHzzNXXWBRPhLsa,24,2012,ambient,0.338,0.484,9,-6.886,1.0,0.0313,0.0373,7.06e-05,0.0903,0.101,72.961,313573.0,4.0,False,False,True,False,speechiness,0.2056,1.1192052986721528
3019,Morten Myklebust,Away,4d6EvoLIZvyUzX8XHQu0XQ,38,2012,ambient,0.442,0.268,0,-10.886,1.0,0.035,0.704,0.0,0.104,0.469,77.157,178747.0,4.0,True,False,False,False,loudness,-5.9366666666666665,1.9390438739131848
3020,Dario Marianelli,She Is Of The Heavens,38uDkHVAXtK3BQIsgSiXgb,20,2012,ambient,0.459,0.309,0,-16.702,0.0,0.051,0.819,0.349,0.114,0.533,150.529,120213.0,3.0,True,False,False,False,speechiness,0.0,4.109876450696854
3021,Kyle Bobby Dunn,The Milksop,3miTcg21QPsYHtBEsKV9YQ,24,2012,ambient,0.171,0.352,10,-21.042,1.0,0.164,0.967,0.974,0.175,0.0897,140.92,166954.0,3.0,False,True,False,False,speechiness,0.0,6.17202279155152
3022,Michael Stearns,Organics,5ZLI4U3pOYrm7NTLR0l06m,24,2012,ambient,0.164,0.0858,7,-22.448,1.0,0.0422,0.964,0.98,0.0869,0.0367,130.787,183475.0,3.0,False,True,False,False,duration_ms,61158.93333333332,3.4380018910114707
3023,Max Corbacho,A Place of Discovery,2Nr1wMkM52NMd16tlROdOY,22,2012,ambient,0.126,0.252,10,-23.433,1.0,0.0446,0.608,0.839,0.112,0.0398,87.927,153627.0,3.0,False,True,False,False,speechiness,0.0271777777777777,2.0277255978898125
3024,willamette,un court thème pour lyla,6Fw7tL5BLdY1AzgKFW3W8G,23,2012,ambient,0.212,0.26,0,-20.811,1.0,0.191,0.716,0.92,0.102,0.388,173.662,155896.0,4.0,False,True,False,False,speechiness,0.0,2.667827952491715
3025,Dario Marianelli,Someone Is Watching,6xzVUppgeAFyDeMJwi6OLM,19,2012,ambient,0.145,0.183,0,-19.066,0.0,0.0454,0.888,0.954,0.16,0.0338,65.767,87080.0,3.0,False,True,False,False,speechiness,0.0272666666666666,4.290690363800998
3026,Masakatsu Takagi,Bud,0VYYaE6SMhg3cr9jvW5ZVV,23,2012,ambient,0.353,0.00254,1,-30.332,1.0,0.0801,0.974,3.18e-05,0.0948,0.209,78.406,42907.0,3.0,True,False,False,False,speechiness,0.0311222222222222,2.975155605060268
3027,Michael Stearns,Pagan,5VlRGc92ysI2Vumoqp3Pb2,26,2012,ambient,0.482,0.101,10,-21.043,1.0,0.0539,0.729,0.931,0.107,0.0365,136.13,147587.0,3.0,False,True,False,False,speechiness,0.0282111111111111,3.562879865938644
3028,Good Weather For An Airstrike,Delta Sleep/Rem,0eKWTXGXzRJeb4L61gbRCB,21,2012,ambient,0.129,0.00613,7,-41.382,1.0,0.0395,0.994,0.987,0.376,0.0276,94.14,134587.0,3.0,False,True,False,False,duration_ms,59816.91111111111,2.079300066931612
3029,Gustavo Santaolalla,Cordon de Plata,2PGqbsSYbNYhfqEOtiH4k7,29,2012,ambient,0.834,0.124,4,-16.488,0.0,0.0944,0.907,0.916,0.0939,0.0575,140.905,174587.0,3.0,False,True,False,False,speechiness,0.0,7.649245860573162
3030,Ludovico Einaudi,Fly,35SNh4YK5KuDrbfsKgBZPt,19,2012,ambient,0.465,0.151,1,-19.13,0.0,0.0404,0.994,0.863,0.0693,0.0378,111.661,200547.0,4.0,False,True,False,False,duration_ms,66849.6,3.764413152398042
3031,Max Richter,After Gunter's Death,4RPilUg9WofA2cIZAzOlhh,27,2012,ambient,0.333,0.0893,4,-21.914,0.0,0.0347,0.976,0.948,0.0947,0.0374,80.059,153000.0,4.0,False,True,False,False,duration_ms,68000.46666666666,1.8008962056543432
3032,Chris Zabriskie,That Kid in Fourth Grade Who Really Liked the Denver Broncos,2Nfn5Nt8n6zUxFC6l4gElI,24,2012,ambient,0.489,0.0136,7,-25.005,1.0,0.0571,0.995,0.947,0.0982,0.0394,69.687,261672.0,3.0,False,True,False,False,speechiness,0.0,3.6825954202804887
3033,Henryk Górecki,"Miserere, Op.44: 8. Domine Deus noster - Lento. Affenttuoso",3Qmq9bqMdRXIB80ovyurIg,19,2012,ambient,0.158,0.00156,0,-45.989,1.0,0.0492,0.992,0.957,0.0709,0.0326,132.656,80027.0,3.0,False,True,False,False,tempo,44.81866666666667,0.3617428676587408
3034,Michael Brook,Charlie Speaks,3QX7IPPp05sFBOZ3UfAduf,24,2012,ambient,0.175,0.00999,0,-26.604,1.0,0.0414,0.99,0.967,0.094,0.0681,81.702,123413.0,5.0,False,True,False,False,duration_ms,54850.68888888888,1.630134028747527
3035,Bethel Music,Angels,7uDeUDRnhslIBRuyc0Aj3V,23,2012,ambient,0.46,0.606,2,-9.537,1.0,0.03,0.45,0.00315,0.113,0.453,142.037,242547.0,4.0,True,False,False,False,loudness,0.0,0.9640761321291932
3036,Bethel Music,In Your Light,5tQePjfNZdinaH7utmvTqc,23,2012,ambient,0.404,0.864,1,-5.297,1.0,0.0368,0.000179,0.0,0.0793,0.222,81.577,256613.0,4.0,False,False,True,False,danceability,0.6040000000000001,3.285922589950637
3037,Air,Retour sur terre,4zSrcTmkkNotgvJE97rIhO,28,2012,ambient,0.486,0.124,1,-20.575,1.0,0.0445,0.968,0.913,0.132,0.106,89.718,32724.0,4.0,False,True,False,False,speechiness,0.0271666666666666,4.132083488885256
3038,Fennesz,Kae,033Vg3im3XjMERhAf180cN,24,2012,ambient,0.206,0.0544,0,-25.762,1.0,0.0466,0.6,0.787,0.0937,0.0347,65.806,131000.0,3.0,False,True,False,False,speechiness,0.0274,2.0406664464843267
3039,Bethel Music,Who You Are,6T4LUGTd2aKVcB2bNcvyEf,23,2012,ambient,0.447,0.449,5,-8.19,1.0,0.0296,0.0951,0.00106,0.0721,0.064,130.062,497667.0,4.0,False,False,True,False,speechiness,0.2296,1.592207581704656
3040,Chilly Gonzales,Venetian Blinds,043feYyI0EJSiI90deTvqn,31,2012,ambient,0.358,0.0885,10,-28.41,0.0,0.0437,0.994,0.925,0.117,0.307,128.706,164693.0,3.0,False,True,False,False,duration_ms,73197.35555555555,2.7498261728576665
3041,Dario Marianelli,Too Late,18UHdYjfx1F0UaiiCedFN6,19,2012,ambient,0.184,0.202,5,-14.623,0.0,0.0344,0.822,0.862,0.109,0.124,93.37,122893.0,3.0,False,True,False,False,speechiness,0.0,0.7557556829510972
3042,Marconi Union,First Light,4v0uDm60hHbSSP2Zt4ZBpy,23,2012,ambient,0.127,0.334,5,-14.519,0.0,0.0319,0.688,0.925,0.0794,0.0343,149.685,456987.0,3.0,False,True,False,False,duration_ms,50777.20000000001,2.3750321789017548
3043,Christian Löffler,Eisberg (Hemal),2cfOpAF1zSFjbly6r3QXZ2,30,2012,ambient,0.783,0.396,8,-10.759,0.0,0.155,0.618,0.952,0.108,0.429,126.041,233094.0,4.0,False,False,False,True,speechiness,0.0,5.966942381826753
3044,The Album Leaf,Torey's Distraction,66W0xU9fctZy5kWpXRdAZO,24,2012,ambient,0.504,0.307,10,-19.391,0.0,0.0541,0.78,0.874,0.109,0.176,126.528,147994.0,4.0,False,True,False,False,speechiness,0.0282333333333333,3.8135513160107024
3045,Chilly Gonzales,Nero's Nocturne,3iCB9l0O57IQmVKtavTENS,29,2012,ambient,0.429,0.0973,2,-21.114,1.0,0.219,0.995,0.955,0.123,0.198,175.683,135293.0,3.0,False,True,False,False,speechiness,0.0189999999999999,4.811016777582047
3046,Rivers & Robots,Uncreated One,0klaDsGzyN72TRKXDhkPq8,22,2012,ambient,0.614,0.457,0,-11.938,1.0,0.0268,0.16,0.0222,0.0898,0.52,105.991,270566.0,4.0,False,False,False,False,danceability,0.8140000000000001,1.175242081146667
3047,willamette,images d'une longueur de cheveux,58iJhT1HLhQWRmObTSORbP,22,2012,ambient,0.172,0.322,0,-21.96,1.0,0.0495,0.773,0.926,0.109,0.0389,123.207,244046.0,4.0,False,True,False,False,speechiness,0.0,2.699156393912654
3048,Rivers & Robots,More Than Enough,5xqoPnRrxqIRNhOpX46K3j,23,2012,ambient,0.336,0.357,4,-11.984,0.0,0.0326,0.493,1.97e-06,0.148,0.184,131.653,451117.0,4.0,True,False,False,False,loudness,0.0,3.598151375711108
